Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
09/02/2016,08:15,12:15,School,Uitlegsessie VOP,,
11/02/2016,14:00,15:30,School,Doornemen documentatie en opstellen vragen,,
16/02/2016,08:15,12:15,School,API call maken -> JSONScraper,,
17/02/2016,19:00,21:00,Thuis,API call OpenData Gent,,
18/02/16,10:30,12:30,School,Jobbeurs,,
20/02/2016,09:00,11:30,Thuis,JSONParser klasse + Google API,,
29/02/2016,17:00,21:00,Thuis,VM doen werken + Google scraper,,
01/03/2016,08:15,12:15,School,"Opzetten Perl scraper",,
03/03/16,18:30,19:00,Thuis,Overlopen en toevoegen use cases,,
05/03/16,14:00,17:30,Thuis,Perl scrape livemaps waze,,
06/03/16,09:00,11:30,Thuis,Perl livemaps error oplossen,,
