Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,12:15,School,Uitlegsessie VOP,,
09/02/16,19:00,20:10,Thuis,GIT in orde brengen op pc,,
09/02/16,20:15,20:40,Thuis,Doornemen en samenvatten van de basisrequirements,,
11/02/16,14:00,15:30,School,Opstellen van product backlog en poging tot ERD,,
12/02/16,11:00,11:20,School,Opstellen van de user stories,,
15/02/16,19:30,20:40,Thuis,"Aanmaken startproject met Maven, VM met MariaDB configureren",,
16/02/16,08:15,12:00,School,"Configfiles met applicatie settings aanmaken, planning en werkverdeling",,
18/02/16,08:00,12:00,Thuis,"Databank sql tabel initialisatie en seed script;connector implementatie in Java; structuur scrapers opzetten",,
19/02/16,18:30,20:45,Thuis,Opzoeken coördinaten van de trajecten; DAL Trajecten in Java en Databank aanpassen naar coordinaatondersteuning; onderzoek en registratie API here,,
22/02/16,18:30,20:45,Thuis,Opzetten van voorbeeldproject in Spring in combinatie met Maven,,
23/02/16,08:15,12:30,School,Scraper Here verder afwerken en VM bij anderen helpen opzetten,,
23/02/16,14:30,15:30,Thuis,Metingen in CRUD en CRUD methodes bij provider en traject aanvullen,,
23/02/16,19:00,21:15,Thuis,Verder onderzoek naar de Spring webapplicatie met oa een poging tot integratie met de source code,,
25/02/16,11:00,12:00,Thuis,Webapplicatie integreren met domeinlogica en uploaden naar onze repo,,
25/02/16,12:30,14:00,Thuis,Herschrijven van enkele klassen in ons domein,,
01/03/16,08:15,12:15,School,Onderzoek naar Glassfish server; analyse documenten opstellen,,
01/03/16,18:30,20:30,Thuis,Opstellen van use cases; webapplicatie verder bouwen,,
02/03/16,14:00,15:45,Thuis,Experimenteren met opzetten Glassfish en samenwerking met project,,
02/03/16,18:30,20:30,Thuis,Use case diagram aanmaken; klassediagram aanmaken,,
03/03/16,07:45,12:00,Thuis,Poging tot implementatie van Leaflet maps met routing,,
03/03/16,12:30,13:15,Thuis,Poging tot implementatie van Leaflet maps met routing,,
07/03/16,19:00,20:30,Thuis,GUI herschreven naar herwerkte domeinlaag; extra tabel aan db toegevoegd en seeds aangepast,,
08/03/16,08:15,12:00,School,Trajecten op kaart tekenen databankschemascript aanpassen en sprintreviewmeeting,,
10/03/16,09:15,12:15,Thuis,Trajecten editeerbaar maken door middel van een opensource routeringsengine die tevens ideale reistijd en lengte zoekt,,
10/03/16,12:45,14:15,School,Afwerken editeerbare trajecten en aanmaken van admin overzichtspagina,,
