Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
9/02/16,8:15,12:30,School,Uitlegsessie VOP,,
10/02/16,19:00,21:00,Thuis,Gedetaïlleerd opdracht doornemen + vragen voorbereiden,,
16/02/16,8:15,12:30,School,Opzoeken gegevens ophalen via Google en Bing + vragen stellen aan,5,
17/02/16,20:00,22:15,Thuis,Opzoekwerk gegevens ophalen via Google,7,
18/02/16,10:30,12:30,School,Jobbeurs,,
21/02/16,11:00,13:00,Thuis,Analyse Google Maps afwerken,7,
23/02/16,8:15,12:30,School,Analyse Here afgewerkt en TomTom gestart,8/21,
28/02/16,19:00,20:45,Thuis,Analyse TomTom afwerken,8,
01/03/16,8:15,12:30,School,Installatie SVN + IntelliJ + Start programmatie tomtom scraper,27, 
01/03/16,18:15,21:35,Thuis,Programmatie TomTom scraper,27, 
05/03/16,13:00,15:30,Thuis,TomTom scraper afgewerkt,27, 
06/03/16,15:00,17:05,Thuis,Presentatie Sprint 1,33,Presentatie nog niet volledig af
07/03/16,20:00,23:00,Thuis,Analyse bijwerken,33,
15/03/16,8:15,12:30,School,Perlscraper voor waze,,
22/03/16,8:15,12:30,School,Schrijven analysedocumenten,,
09/04/16,13:00,19:00,Thuis,Schrijven installatiehandleiding - Installatie Fedora,64,
09/04/16,20:00,22:00,Thuis,Afwerken installatie Fedora;start CentOS,64,
10/04/16,13:00,19:00,Thuis,Schrijven installatiehandleiding - Installatie CentOS;GlassFish;MariaDB,64,
11/04/16,20:00,21:00,Thuis,Schrijven installatiehandleiding - MariaDB gestart,64,
12/04/16,8:15,12:30,School,Schrijven installatiehandleiding - MariaDB toegevoegd+testen installatie,64,
16/04/16,16:00,21:00,Thuis,Schrijven installatiehandleiding - MariaDB + Deployment WAR files,64,
17/04/16,15:00,21:00,Thuis,Testplan algemene structuur uitwerken,63,
18/04/16,20:00,23:59,Thuis,Spellingcontrole + clearup bestand,64,
19/04/16,8:15,12:30,School,Presentatie + opzoekwerk loginmodule,90,
19/04/16,15:00,18:30,Thuis,Start loginmodule - loginpagina aanmaken in gui,90,
19/04/16,19:30,23:59,Thuis,Userklasse + iLoginrepository + loginrepository (sql connector) toegevoegd,90,
20/04/16,19:30,22:00,Thuis,jsp pagina + javascript cookie creator gestart,90,
21/04/16,8:00,12:30,Thuis,Cookie aanmaken bij inloggen (inloggen afgewerkt),90,
21/04/16,13:00,15:30,Thuis,Cookie uitlezen + Redirecting instellen,90,
21/04/16,18:00,20:30,Thuis,Loginpagina afgewerkt,90,
22/04/16,20:00,22:30,Thuis,Welkomsttekst + logout button in de header,90,
26/04/16,8:15,12:30,School,Log-out button functionaliteit + redirecting volledig afwerken,90,
26/04/16,15:00,17:30,Thuis,Afwerking + merging met master(fileconflicts oplossen),90,
